CustomerID,Price,Frequency,Basket_Size,Recency,Amount_Spent_per_Visit
12346,77183.6,1,74215,325,77183.6
12347,4310,7,351,2,615.71
12348,1437.24,4,583,75,359.31
12349,1457.55,1,630,18,1457.55
12350,294.4,1,196,310,294.4
12352,1385.74,7,75,36,197.96
12353,89,1,20,204,89
12354,1079.4,1,530,232,1079.4
12355,459.4,1,240,214,459.4
12356,2487.43,3,524,22,829.14
12357,6207.67,1,2708,33,6207.67
12358,928.06,2,121,1,464.03
12359,6372.58,4,405,57,1593.14
12360,2302.06,3,385,52,767.35
12361,174.9,1,90,287,174.9
12362,4737.23,10,219,3,473.72
12363,552,2,204,109,276
12364,1208.1,4,374,7,302.03
12365,320.69,1,173,291,320.69
12367,150.9,1,172,4,150.9
12370,3425.69,4,587,51,856.42
12371,1527.96,1,582,59,1527.96
12372,1196.04,3,262,71,398.68
12373,324.6,1,196,311,324.6
12374,622.93,1,339,25,622.93
12375,377.5,2,88,10,188.75
12377,1548.12,2,471,315,774.06
12378,4008.62,1,2529,129,4008.62
12379,777.24,2,201,81,388.62
12380,2427.81,4,277,21,606.95
12381,1474.81,3,265,4,491.6
12383,1628.56,5,303,184,325.71
12384,425.27,2,61,28,212.63
12386,401.9,2,177,337,200.95
12388,2780.66,6,243,15,463.44
12390,504.84,1,350,79,504.84
12391,460.89,1,300,21,460.89
12393,1582.6,4,204,72,395.65
12394,1080.48,2,404,63,540.24
12395,2682.63,12,174,19,223.55
12397,2214.9,2,625,35,1107.45
12398,1435.66,1,1389,45,1435.66
12399,1033.65,4,293,119,258.41
12401,69.3,1,10,303,69.3
12402,195.6,1,92,323,195.6
12403,391.7,1,94,49,391.7
12405,1390.39,1,849,148,1390.39
12406,3415.3,2,909,22,1707.65
12407,1507.12,5,280,49,301.42
12408,2618.55,5,278,32,523.71
12409,11072.67,3,1850,78,3690.89
12410,533.33,2,103,308,266.66
12412,1142.88,3,274,74,380.96
12413,686.1,3,94,66,228.7
12414,442.41,3,99,217,147.47
