CustomerID,Price,Frequency,Basket_Size,Recency,Amount_Spent_per_Visit,RMF Cluster
12348,1437.24,4,583,75,359.31,3
12349,1457.55,1,630,18,1457.55,0
12350,294.4,1,196,310,294.4,1
12352,1385.74,7,75,36,197.96,2
12353,89.0,1,20,204,89.0,1
12354,1079.4,1,530,232,1079.4,1
12355,459.4,1,240,214,459.4,1
12356,2487.43,3,524,22,829.14,3
12358,928.06,2,121,1,464.03,0
12360,2302.06,3,385,52,767.35,3
12361,174.9,1,90,287,174.9,1
12363,552.0,2,204,109,276.0,0
12364,1208.1,4,374,7,302.03,3
12365,320.69,1,173,291,320.69,1
12367,150.9,1,172,4,150.9,0
12370,3425.69,4,587,51,856.42,2
12371,1527.96,1,582,59,1527.96,3
12372,1196.04,3,262,71,398.68,3
12373,324.6,1,196,311,324.6,1
12374,622.93,1,339,25,622.93,0
12375,377.5,2,88,10,188.75,0
12377,1548.12,2,471,315,774.06,1
12379,777.24,2,201,81,388.62,0
12380,2427.81,4,277,21,606.95,2
12381,1474.81,3,265,4,491.6,3
12383,1628.56,5,303,184,325.71,3
12384,425.27,2,61,28,212.63,0
12386,401.9,2,177,337,200.95,1
12388,2780.66,6,243,15,463.44,2
12390,504.84,1,350,79,504.84,0
12391,460.89,1,300,21,460.89,0
12393,1582.6,4,204,72,395.65,3
12394,1080.48,2,404,63,540.24,0
12397,2214.9,2,625,35,1107.45,3
12398,1435.66,1,1389,45,1435.66,0
12399,1033.65,4,293,119,258.41,3
12401,69.3,1,10,303,69.3,1
12402,195.6,1,92,323,195.6,1
12403,391.7,1,94,49,391.7,0
12405,1390.39,1,849,148,1390.39,0
12406,3415.3,2,909,22,1707.65,2
12407,1507.12,5,280,49,301.42,3
12408,2618.55,5,278,32,523.71,2
12410,533.33,2,103,308,266.66,1
12412,1142.88,3,274,74,380.96,3
12413,686.1,3,94,66,228.7,0
12414,442.41,3,99,217,147.47,1
12417,3226.1,9,169,3,358.46,2
12418,668.58,1,407,112,668.58,0
12420,600.39,1,345,63,600.39,0
12421,639.04,4,119,15,159.76,3
12422,683.56,3,122,95,227.85,0
12423,1634.31,8,165,0,204.29,2
12424,1760.96,2,370,162,880.48,3
12425,777.2,1,496,78,777.2,0
12426,510.73,1,254,194,510.73,1
12427,699.8,3,175,21,233.27,0
12429,3388.4,4,384,9,847.1,2
12430,216.4,1,116,43,216.4,0
12434,806.14,2,197,84,403.07,0
12436,429.01,1,209,99,429.01,0
12438,2466.85,2,584,14,1233.42,3
12441,155.55,1,120,366,155.55,1
12442,144.06,1,181,3,144.06,0
12445,77.4,1,60,22,77.4,0
12446,1002.31,1,351,57,1002.31,0
12447,431.49,1,187,243,431.49,1
12448,365.45,1,240,44,365.45,0
12449,3596.29,4,380,22,899.07,2
12450,197.88,2,64,156,98.94,0
12452,348.57,1,181,16,348.57,0
12453,707.09,1,473,134,707.09,0
12454,3528.34,1,1006,56,3528.34,2
12455,2339.86,5,416,73,467.97,2
12456,2581.04,3,539,44,860.35,3
12457,2043.23,6,139,66,340.54,2
12458,787.4,2,251,71,393.7,0
12461,626.88,1,282,154,626.88,0
12462,937.59,2,263,18,468.79,0
12463,1200.78,4,192,53,300.2,3
12464,957.05,8,11,10,119.63,2
12465,682.19,2,237,17,341.1,0
12468,657.54,2,181,187,328.77,1
12473,2596.23,3,806,53,865.41,3
12475,669.38,1,532,53,669.38,0
12478,545.99,1,233,3,545.99,0
12479,473.2,1,382,11,473.2,0
12480,2885.63,4,421,28,721.41,2
